Employee #,Last Name,First Name,Birthday,Address,Phone Number,SSS #,Philhealth #,TIN #,Pag-ibig #,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi-monthly Rate,Hourly Rate
10001,Crisostomo,Jose,02 14 1988,"17/85 Stracke Via Suite 042, Poblacion, Las Piñas 4783 Dinagat Islands ",918-621-603,49-1632020-8,382189000000,317-674-022-000,441093000000,Regular,HR Manager,N/A,"62,670","1,500","1,000","1,000","31,335",373.04
10002,Mata,Christian,10 21 1987,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,824188000000,103-100-522-000,631053000000,Regular,Account Team Leader,"Romualdez, Fredrick","42,975","1,500",800,800,"21,488",255.8
10003,San Jose,Brad ,03 15 1996,"99 Strosin Hills, Poblacion, Bislig 5340 Tawi-Tawi",797-009-261,40-2400714-1,239193000000,672-474-690-000,210850000000,Regular,HR Team Leader,"Crisostomo, Jose","42,975","1,500",800,800,"21,488",255.8
10004,Salcedo,Anthony,09 14 1993,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445000000,210-805-911-000,218002000000,Regular,Payroll Manager,"Crisostomo, Jose","60,825","1,500","1,000","1,000","30,413",362.05
10005,Romualdez,Alice,05 14 1992,"12A/33 Upton Isle Apt. 420, Roxas City 1814 Surigao del Norte ",983-606-799,55-4476527-2,545653000000,888-572-294-000,211386000000,Regular,HR Rank and File,"San Jose, Brad","22,500","1,500",500,500,"11,250",133.93
10006,Atienza,Rosie ,09 24 1948,"90A Dibbert Terrace Apt. 190, San Lorenzo 6056 Davao del Norte",266-036-427,41-0644692-3,708988000000,604-997-793-000,260108000000,Regular,HR Rank and File,"San Jose, Brad","22,500","1,500",500,500,"11,250",133.93
10007,Farala,Martha,01 11 1942,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,233694000000,210-835-851-000,631130000000,Regular,Payroll Rank and File,"Farala, Martha","24,000","1,500",500,500,"12,000",142.86
10008,Martinez,Leila,07 11 1970,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,515741000000,275-792-513-000,101205000000,Regular,Payroll Rank and File,"Farala, Martha","24,000","1,500",500,500,"12,000",142.86
10009,San Jose,Allison ,06 24 1986,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148000000,121-203-336-000,114902000000,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
10010,Rosario,Cydney ,10 06 1996,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253000000,122-244-511-000,265104000000,Regular,Account Rank and File,"Mata, Christian","22,500","1,500",500,500,"11,250",133.93
